Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
76,Entry short,2026-01-06 10:15,sl1|setup=vwap_loss|side=short|grade=A|size=half|score=5|window=midday|tier=neutral|rvol=1.820155|rs_vs_spy=-1.41541|gap_atr=-0.060418|ext_atr=0.048941|risk_atr=0.098941,264.21,115,30384.15,-4.6,-0.02,0,39.1,0.13,-28.75,-0.09,-1521.88,-6.09,3
77,Exit short,2026-01-06 11:45,sl1|exit_reason=trail|mfe_r=2.094851,263.01,62,16358.08,51.46,0.31,0,102.3,0.63,-1.24,-0.01,-1470.42,-5.88,10
77,Entry short,2026-01-06 10:55,sl1|setup=vwap_loss|side=short|grade=A|size=half|score=5|window=midday|tier=neutral|rvol=1.617724|rs_vs_spy=-1.350471|gap_atr=-0.060418|ext_atr=0.131755|risk_atr=0.181755,263.84,62,16358.08,51.46,0.31,0,102.3,0.63,-1.24,-0.01,-1470.42,-5.88,10
78,Exit short,2026-01-07 14:30,sl1|exit_reason=be|mfe_r=1.253153,261.78,130,34026.2,-5.2,-0.02,0,59.8,0.18,-5.2,-0.02,-1475.62,-5.90,4
78,Entry short,2026-01-07 14:10,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=1.462502|rs_vs_spy=-0.513885|gap_atr=0.219699|ext_atr=0.03587|risk_atr=0.08587,261.74,130,34026.2,-5.2,-0.02,0,59.8,0.18,-5.2,-0.02,-1475.62,-5.90,4
79,Exit short,2026-01-07 15:50,sl1|exit_reason=eod|mfe_r=0.924242,259.99,94,24513.32,74.26,0.30,0,90.24,0.37,-15.04,-0.06,-1401.36,-5.61,4
79,Entry short,2026-01-07 15:30,sl1|setup=lod_break|side=short|grade=A|size=full|score=5|window=power|tier=neutral|rvol=1.529465|rs_vs_spy=-0.562239|gap_atr=0.219699|ext_atr=0.236942|risk_atr=0.237708,260.78,94,24513.32,74.26,0.30,0,90.24,0.37,-15.04,-0.06,-1401.36,-5.61,4
80,Exit short,2026-01-08 09:45,sl1|exit_reason=stop|mfe_r=0,256.51,269,68888.21,-112.98,-0.16,0,64.56,0.09,-112.98,-0.16,-1514.34,-6.06,1
80,Entry short,2026-01-08 09:40,sl1|setup=orb_break|side=short|grade=A|size=full|score=5|window=open|tier=neutral|rvol=1.934563|rs_vs_spy=-0.206457|gap_atr=-0.752526|ext_atr=0.16786|risk_atr=0.083949,256.09,269,68888.21,-112.98,-0.16,0,64.56,0.09,-112.98,-0.16,-1514.34,-6.06,1
81,Exit short,2026-01-08 10:25,sl1|exit_reason=stop|mfe_r=0.562449,256.89,108,27689.04,-55.08,-0.20,0,25.92,0.09,-55.08,-0.20,-1569.42,-6.28,2
81,Entry short,2026-01-08 10:15,sl1|setup=vwap_loss|side=short|grade=A|size=half|score=5|window=midday|tier=neutral|rvol=1.856035|rs_vs_spy=-0.378165|gap_atr=-0.752526|ext_atr=0.054621|risk_atr=0.104621,256.38,108,27689.04,-55.08,-0.20,0,25.92,0.09,-55.08,-0.20,-1569.42,-6.28,2
82,Exit short,2026-01-09 10:00,sl1|exit_reason=trail|mfe_r=2.278616,257.17,67,17290.69,60.3,0.35,0,123.95,0.72,-31.49,-0.18,-1509.12,-6.04,5
