Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
336,Entry long,2026-08-26 10:00,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.578982|rs_vs_spy=0.931283|gap_atr=-0.090539|ext_atr=0.036969|risk_atr=0.08,937.98,9,8441.82,-47.52,-0.56,0,2.88,0.03,-47.52,-0.56,-483.09,-1.93,1
337,Exit short,2026-08-27 09:45,sl1|exit_reason=trail|mfe_r=1.753683,942,10,9457.1,37.1,0.39,0,87.1,0.92,-31.7,-0.34,-445.99,-1.78,2
337,Entry short,2026-08-27 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.453236|rs_vs_spy=-2.206052|gap_atr=0.494326|ext_atr=0.076897|risk_atr=0.08,945.71,10,9457.1,37.1,0.39,0,87.1,0.92,-31.7,-0.34,-445.99,-1.78,2
338,Exit short,2026-08-27 10:15,sl1|exit_reason=stop|mfe_r=0,929.38,10,9243.6,-50.2,-0.54,0,22.6,0.24,-50.2,-0.54,-496.19,-1.98,1
338,Entry short,2026-08-27 10:10,sl1|setup=pdl_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.340335|rs_vs_spy=-4.469046|gap_atr=0.494326|ext_atr=0.234741|risk_atr=0.08,924.36,10,9243.6,-50.2,-0.54,0,22.6,0.24,-50.2,-0.54,-496.19,-1.98,1
339,Exit long,2026-08-28 10:10,sl1|exit_reason=be|mfe_r=1.46104,926.22,5,4631.3,-0.2,0.00,0,64.55,1.39,-19.7,-0.43,-496.39,-1.99,7
339,Entry long,2026-08-28 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.631704|rs_vs_spy=0.651444|gap_atr=-0.166647|ext_atr=0.124595|risk_atr=0.142287,926.26,5,4631.3,-0.2,0.00,0,64.55,1.39,-19.7,-0.43,-496.39,-1.99,7
340,Exit long,2026-08-28 15:10,sl1|exit_reason=stop|mfe_r=0.683311,925.35,10,9303.7,-50.2,-0.54,0,33.8,0.36,-50.2,-0.54,-546.59,-2.19,13
340,Entry long,2026-08-28 14:05,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.970262|rs_vs_spy=1.444433|gap_atr=-0.166647|ext_atr=0.002707|risk_atr=0.08,930.37,10,9303.7,-50.2,-0.54,0,33.8,0.36,-50.2,-0.54,-546.59,-2.19,13
341,Exit long,2026-08-31 10:00,sl1|exit_reason=trail|mfe_r=2.15681,945.57,10,9400.2,55.5,0.59,0,129.2,1.37,-4.1,-0.04,-491.09,-1.96,3
341,Entry long,2026-08-31 09:45,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.812121|rs_vs_spy=1.143594|gap_atr=-0.036891|ext_atr=0.017377|risk_atr=0.08,940.02,10,9400.2,55.5,0.59,0,129.2,1.37,-4.1,-0.04,-491.09,-1.96,3
342,Exit short,2026-09-01 14:55,sl1|exit_reason=be|mfe_r=0.930498,929.03,7,6502.93,-0.28,0.00,0,45.85,0.71,-21.07,-0.32,-491.37,-1.97,9
342,Entry short,2026-09-01 14:10,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=1.073193|rs_vs_spy=-1.100938|gap_atr=-0.297691|ext_atr=0.285935|risk_atr=0.121288,928.99,7,6502.93,-0.28,0.00,0,45.85,0.71,-21.07,-0.32,-491.37,-1.97,9
343,Exit long,2026-09-02 09:45,sl1|exit_reason=trail|mfe_r=1.783004,950.81,10,9472.6,35.5,0.37,0,101.9,1.08,-9.3,-0.10,-455.87,-1.82,2
343,Entry long,2026-09-02 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.901932|rs_vs_spy=1.763489|gap_atr=-0.042757|ext_atr=0.099778|risk_atr=0.08,947.26,10,9472.6,35.5,0.37,0,101.9,1.08,-9.3,-0.10,-455.87,-1.82,2
344,Exit long,2026-09-02 10:25,sl1|exit_reason=be|mfe_r=0.844695,944.11,10,9441.5,-0.4,0.00,0,38.6,0.41,-43,-0.46,-456.27,-1.83,4
344,Entry long,2026-09-02 10:05,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.155347|rs_vs_spy=1.261497|gap_atr=-0.042757|ext_atr=0.001237|risk_atr=0.08,944.15,10,9441.5,-0.4,0.00,0,38.6,0.41,-43,-0.46,-456.27,-1.83,4
345,Exit short,2026-09-03 10:20,sl1|exit_reason=stop|mfe_r=0.265254,939.45,19,17753.41,-96.14,-0.54,0,24.89,0.14,-96.14,-0.54,-552.41,-2.21,3
345,Entry short,2026-09-03 10:05,sl1|setup=vwap_loss|side=short|grade=A|size=full|score=5|window=open|tier=core|rvol=1.595609|rs_vs_spy=-2.342202|gap_atr=0.04593|ext_atr=0.040312|risk_atr=0.090312,934.39,19,17753.41,-96.14,-0.54,0,24.89,0.14,-96.14,-0.54,-552.41,-2.21,3
346,Exit long,2026-09-04 10:10,sl1|exit_reason=stop|mfe_r=0.561386,991.93,13,12992.72,-97.63,-0.75,0,54.21,0.42,-97.63,-0.75,-650.04,-2.60,3
346,Entry long,2026-09-04 09:55,sl1|setup=orb_break|side=long|grade=A|size=full|score=5|window=open|tier=core|rvol=1.997665|rs_vs_spy=2.908989|gap_atr=0.23204|ext_atr=0.149989|risk_atr=0.137015,999.44,13,12992.72,-97.63,-0.75,0,54.21,0.42,-97.63,-0.75,-650.04,-2.60,3
347,Exit long,2026-09-04 15:50,sl1|exit_reason=eod|mfe_r=0.586694,1011.98,12,12098.28,45.48,0.38,0,54.24,0.45,-8.28,-0.07,-604.56,-2.42,3
