Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
232,Entry short,2026-06-18 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=0.751088|rs_vs_spy=-0.702675|gap_atr=0.342916|ext_atr=0.170152|risk_atr=0.165125,567.64,14,7946.96,-0.56,-0.01,0,63.42,0.80,-4.48,-0.06,-1283.31,-5.13,5
233,Exit long,2026-06-23 10:55,sl1|exit_reason=stop|mfe_r=0.561536,565.38,11,6267.47,-48.29,-0.77,0,26.62,0.42,-48.29,-0.77,-1331.6,-5.33,16
233,Entry long,2026-06-23 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.834853|rs_vs_spy=1.228684|gap_atr=-0.067824|ext_atr=0.206765|risk_atr=0.218304,569.77,11,6267.47,-48.29,-0.77,0,26.62,0.42,-48.29,-0.77,-1331.6,-5.33,16
234,Exit long,2026-06-24 09:40,sl1|exit_reason=stop|mfe_r=0,564.01,16,9074.08,-49.92,-0.55,0,5.76,0.06,-49.92,-0.55,-1381.52,-5.53,1
234,Entry long,2026-06-24 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.770985|rs_vs_spy=0.67332|gap_atr=0.013485|ext_atr=0.129653|risk_atr=0.159433,567.13,16,9074.08,-49.92,-0.55,0,5.76,0.06,-49.92,-0.55,-1381.52,-5.53,1
235,Exit short,2026-06-25 09:50,sl1|exit_reason=stop|mfe_r=0.224549,545.66,22,11905.52,-99,-0.83,0,21.56,0.18,-99,-0.83,-1480.52,-5.92,3
235,Entry short,2026-06-25 09:35,sl1|setup=orb_break|side=short|grade=A|size=full|score=5|window=open|tier=core|rvol=1.649485|rs_vs_spy=-2.377709|gap_atr=-0.100702|ext_atr=0.303968|risk_atr=0.236033,541.16,22,11905.52,-99,-0.83,0,21.56,0.18,-99,-0.83,-1480.52,-5.92,3
236,Exit long,2026-06-26 14:35,sl1|exit_reason=trail|mfe_r=1.542582,551.95,10,5493.5,26,0.47,0,74.9,1.36,-2.4,-0.04,-1454.52,-5.82,53
236,Entry long,2026-06-26 10:10,sl1|setup=orb_retest|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.772156|rs_vs_spy=0.544876|gap_atr=0.017582|ext_atr=0.274103|risk_atr=0.259386,549.35,10,5493.5,26,0.47,0,74.9,1.36,-2.4,-0.04,-1454.52,-5.82,53
237,Exit long,2026-06-29 09:55,sl1|exit_reason=be|mfe_r=1.047082,568.65,23,13079.87,-0.92,-0.01,0,50.6,0.39,-28.52,-0.22,-1455.44,-5.82,2
237,Entry long,2026-06-29 09:45,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.922664|rs_vs_spy=1.211232|gap_atr=0.541563|ext_atr=0.160356|risk_atr=0.113966,568.69,23,13079.87,-0.92,-0.01,0,50.6,0.39,-28.52,-0.22,-1455.44,-5.82,2
238,Exit long,2026-06-29 14:50,sl1|exit_reason=stop|mfe_r=0.258687,564.8,33,18689.22,-50.82,-0.27,0,11.88,0.06,-50.82,-0.27,-1506.26,-6.03,4
238,Entry long,2026-06-29 14:30,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.81951|rs_vs_spy=0.545743|gap_atr=0.541563|ext_atr=0.028042|risk_atr=0.08,566.34,33,18689.22,-50.82,-0.27,0,11.88,0.06,-50.82,-0.27,-1506.26,-6.03,4
