Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
271,Entry long,2026-06-24 09:52,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782309060000:long|bars_to_confirm=1|signal_close=1060.945|trigger=1058.98|stop=1044.86|target_r=1.5|risk_ps=16.085|atr=7.791901|vwap_dist_atr=0.780626|tick=0.01,1061.02,6,6366.12,-97.02,-1.52,0,5.88,0.09,-97.02,-1.52,2970.03,2.97,6
272,Exit short,2026-06-24 10:46,sl1|exit_reason=stop,1054.26,16,16774.24,-93.92,-0.56,0,18.24,0.11,-93.92,-0.56,2876.11,2.88,3
272,Entry short,2026-06-24 10:43,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782312120000:short|bars_to_confirm=1|signal_close=1048.185|trigger=1049.5002|stop=1054.25|target_r=1.5|risk_ps=6.065|atr=4.62543|vwap_dist_atr=0.692345|tick=0.01,1048.39,16,16774.24,-93.92,-0.56,0,18.24,0.11,-93.92,-0.56,2876.11,2.88,3
273,Exit short,2026-06-25 09:46,sl1|exit_reason=target,1204.64,5,6163,139.8,2.27,0,139.8,2.27,-7,-0.11,3015.91,3.02,4
273,Entry short,2026-06-25 09:42,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782394860000:short|bars_to_confirm=1|signal_close=1232.605|trigger=1235|stop=1251.24|target_r=1.5|risk_ps=18.635|atr=8.287187|vwap_dist_atr=0.731923|tick=0.01,1232.6,5,6163,139.8,2.27,0,139.8,2.27,-7,-0.11,3015.91,3.02,4
274,Exit long,2026-06-25 11:09,sl1|exit_reason=stop,1183.5,13,15479.75,-94.25,-0.61,0,14.69,0.09,-94.25,-0.61,2921.66,2.92,2
274,Entry long,2026-06-25 11:07,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782399900000:long|bars_to_confirm=2|signal_close=1190.78|trigger=1189.5|stop=1183.51|target_r=1.5|risk_ps=7.27|atr=6.343264|vwap_dist_atr=0.684077|tick=0.01,1190.75,13,15479.75,-94.25,-0.61,0,14.69,0.09,-94.25,-0.61,2921.66,2.92,2
275,Exit long,2026-06-26 09:48,sl1|exit_reason=stop,1136.59,7,8045.87,-89.74,-1.12,0,4.13,0.05,-89.74,-1.12,2831.92,2.83,0
275,Entry long,2026-06-26 09:48,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782481620000:long|bars_to_confirm=1|signal_close=1149.2101|trigger=1148.83|stop=1136.6|target_r=1.5|risk_ps=12.6101|atr=7.970631|vwap_dist_atr=0.852984|tick=0.01,1149.41,7,8045.87,-89.74,-1.12,0,4.13,0.05,-89.74,-1.12,2831.92,2.83,0
276,Exit long,2026-06-26 09:58,sl1|exit_reason=target,1170.11,6,6890.76,129.9,1.89,0,129.9,1.89,-22.38,-0.32,2961.82,2.96,3
276,Entry long,2026-06-26 09:55,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782482040000:long|bars_to_confirm=1|signal_close=1148.87|trigger=1145.55|stop=1134.03|target_r=1.5|risk_ps=14.84|atr=8.89162|vwap_dist_atr=0.804639|tick=0.01,1148.46,6,6890.76,129.9,1.89,0,129.9,1.89,-22.38,-0.32,2961.82,2.96,3
277,Exit long,2026-06-30 10:07,sl1|exit_reason=stop,1138.42,12,13757.52,-96.48,-0.70,0,108.48,0.79,-96.48,-0.70,2865.34,2.87,12
277,Entry long,2026-06-30 09:55,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782827580000:long|bars_to_confirm=2|signal_close=1146.35|trigger=1144.84|stop=1138.43|target_r=1.5|risk_ps=7.92|atr=6.692202|vwap_dist_atr=0.626581|tick=0.01,1146.46,12,13757.52,-96.48,-0.70,0,108.48,0.79,-96.48,-0.70,2865.34,2.87,12
278,Exit long,2026-06-30 10:41,sl1|exit_reason=time,1148.92,13,14939.34,-3.38,-0.02,0,92.82,0.62,-49.4,-0.33,2861.96,2.86,20
278,Entry long,2026-06-30 10:21,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782829080000:long|bars_to_confirm=3|signal_close=1149.12|trigger=1148.49|stop=1141.55|target_r=1.5|risk_ps=7.57|atr=5.607848|vwap_dist_atr=0.909696|tick=0.01,1149.18,13,14939.34,-3.38,-0.02,0,92.82,0.62,-49.4,-0.33,2861.96,2.86,20
