Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
321,Entry short,2026-08-13 14:05,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=1.45491|rs_vs_spy=-3.175671|gap_atr=-0.13747|ext_atr=0.628168|risk_atr=0.239443,247.98,7,1735.86,-21.77,-1.25,0,4.62,0.27,-35.28,-2.03,2640.25,10.56,6
322,Exit long,2026-08-14 10:05,sl1|exit_reason=trail|mfe_r=1.863592,268.54,23,6153.65,22.77,0.37,0,90.85,1.48,-19.55,-0.32,2663.02,10.65,2
322,Entry long,2026-08-14 09:55,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.844923|rs_vs_spy=3.658761|gap_atr=0.120547|ext_atr=0.025787|risk_atr=0.08,267.55,23,6153.65,22.77,0.37,0,90.85,1.48,-19.55,-0.32,2663.02,10.65,2
323,Exit short,2026-08-17 09:40,sl1|exit_reason=stop|mfe_r=0,269.92,11,2921.49,-47.63,-1.63,0,1.54,0.05,-47.63,-1.63,2615.39,10.46,1
323,Entry short,2026-08-17 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.586589|rs_vs_spy=-4.01838|gap_atr=-0.026123|ext_atr=0.151944|risk_atr=0.162252,265.59,11,2921.49,-47.63,-1.63,0,1.54,0.05,-47.63,-1.63,2615.39,10.46,1
324,Exit short,2026-08-17 15:00,sl1|exit_reason=be|mfe_r=1.132966,272.35,21,5718.51,-0.84,-0.01,0,56.07,0.98,-10.08,-0.18,2614.55,10.46,5
324,Entry short,2026-08-17 14:35,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.602253|rs_vs_spy=-1.335486|gap_atr=-0.026123|ext_atr=0.039889|risk_atr=0.089889,272.31,21,5718.51,-0.84,-0.01,0,56.07,0.98,-10.08,-0.18,2614.55,10.46,5
325,Exit short,2026-08-18 09:55,sl1|exit_reason=stop|mfe_r=0,264.66,24,6301.44,-50.4,-0.80,0,9.36,0.15,-50.4,-0.80,2564.15,10.26,1
325,Entry short,2026-08-18 09:50,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.554148|rs_vs_spy=-2.263323|gap_atr=0|ext_atr=0.189517|risk_atr=0.08,262.56,24,6301.44,-50.4,-0.80,0,9.36,0.15,-50.4,-0.80,2564.15,10.26,1
326,Exit short,2026-08-18 14:30,sl1|exit_reason=time|mfe_r=0.133667,247.34,11,2698.63,-22.11,-0.82,0,6.05,0.22,-24.75,-0.92,2542.04,10.17,6
326,Entry short,2026-08-18 14:00,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.680516|rs_vs_spy=-8.554692|gap_atr=0|ext_atr=0.493052|risk_atr=0.165656,245.33,11,2698.63,-22.11,-0.82,0,6.05,0.22,-24.75,-0.92,2542.04,10.17,6
