Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
14,Entry long,2026-01-20 09:40,sl1|setup=orb_break|side=long|grade=B|size=half|score=3|window=open|tier=core|rvol=1.563766|rs_vs_spy=0|gap_atr=-1.808955|ext_atr=0.131991|risk_atr=0.136013,683.19,65,44407.35,-52,-0.12,0,0,0.00,-52,-0.12,-304.94,-1.22,1
15,Exit long,2026-01-21 15:15,sl1|exit_reason=be|mfe_r=0.94252,686.35,19,13041.41,-0.76,-0.01,0,44.46,0.34,-8.17,-0.06,-305.7,-1.22,8
15,Entry long,2026-01-21 14:35,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.51892|rs_vs_spy=0|gap_atr=0.327486|ext_atr=0.73154|risk_atr=0.4,686.39,19,13041.41,-0.76,-0.01,0,44.46,0.34,-8.17,-0.06,-305.7,-1.22,8
16,Exit long,2026-02-06 09:40,sl1|exit_reason=stop|mfe_r=0,684.08,82,56147.86,-53.3,-0.09,0,0,0.00,-53.3,-0.09,-359,-1.44,1
16,Entry long,2026-02-06 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.979239|rs_vs_spy=0|gap_atr=0.545784|ext_atr=0.136551|risk_atr=0.082503,684.73,82,56147.86,-53.3,-0.09,0,0,0.00,-53.3,-0.09,-359,-1.44,1
17,Exit short,2026-03-03 09:55,sl1|exit_reason=be|mfe_r=0.832305,673.46,34,22896.28,-1.36,-0.01,0,39.78,0.17,-46.92,-0.20,-360.36,-1.44,3
17,Entry short,2026-03-03 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.852499|rs_vs_spy=0|gap_atr=-1.377622|ext_atr=0.202745|risk_atr=0.174462,673.42,34,22896.28,-1.36,-0.01,0,39.78,0.17,-46.92,-0.20,-360.36,-1.44,3
18,Exit long,2026-03-23 10:25,sl1|exit_reason=trail|mfe_r=1.601679,660.57,29,19128.4,28.13,0.15,0,77.43,0.40,-27.84,-0.15,-332.23,-1.33,7
18,Entry long,2026-03-23 09:50,sl1|setup=orb_retest|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.636448|rs_vs_spy=0|gap_atr=0.993768|ext_atr=0.141771|risk_atr=0.175133,659.6,29,19128.4,28.13,0.15,0,77.43,0.40,-27.84,-0.15,-332.23,-1.33,7
19,Exit long,2026-03-23 14:35,sl1|exit_reason=stop|mfe_r=0,657.98,59,38873.33,-52.51,-0.14,0,46.02,0.12,-52.51,-0.14,-384.74,-1.54,1
19,Entry long,2026-03-23 14:30,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.588986|rs_vs_spy=0|gap_atr=0.993768|ext_atr=0.038347|risk_atr=0.088347,658.87,59,38873.33,-52.51,-0.14,0,46.02,0.12,-52.51,-0.14,-384.74,-1.54,1
20,Exit long,2026-04-08 09:50,sl1|exit_reason=stop|mfe_r=0,674.22,26,17579.12,-49.4,-0.28,0,0,0.00,-49.4,-0.28,-434.14,-1.74,1
20,Entry long,2026-04-08 09:45,sl1|setup=orb_fail|side=long|grade=B|size=half|score=3|window=open|tier=core|rvol=1.603976|rs_vs_spy=0|gap_atr=1.692565|ext_atr=0.036678|risk_atr=0.183702,676.12,26,17579.12,-49.4,-0.28,0,0,0.00,-49.4,-0.28,-434.14,-1.74,1
21,Exit short,2026-04-30 10:00,sl1|exit_reason=trail|mfe_r=2.441264,711.51,71,50585.37,68.16,0.13,0,119.99,0.24,-23.43,-0.05,-365.98,-1.46,3
21,Entry short,2026-04-30 09:45,sl1|setup=orb_retest|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.512143|rs_vs_spy=0|gap_atr=0.389288|ext_atr=0.044344|risk_atr=0.089697,712.47,71,50585.37,68.16,0.13,0,119.99,0.24,-23.43,-0.05,-365.98,-1.46,3
22,Exit short,2026-05-11 15:05,sl1|exit_reason=trail|mfe_r=1.749358,738.89,80,59144.8,33.6,0.06,0,88,0.15,-6.4,-0.01,-332.38,-1.33,3
22,Entry short,2026-05-11 14:50,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=1.503388|rs_vs_spy=0|gap_atr=-0.141244|ext_atr=0.012958|risk_atr=0.08,739.31,80,59144.8,33.6,0.06,0,88,0.15,-6.4,-0.01,-332.38,-1.33,3
23,Exit short,2026-05-15 09:40,sl1|exit_reason=stop|mfe_r=0,739.78,83,61347.79,-53.95,-0.09,0,41.5,0.07,-53.95,-0.09,-386.33,-1.55,1
23,Entry short,2026-05-15 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.571511|rs_vs_spy=0|gap_atr=-0.82899|ext_atr=0.127475|risk_atr=0.08,739.13,83,61347.79,-53.95,-0.09,0,41.5,0.07,-53.95,-0.09,-386.33,-1.55,1
24,Exit short,2026-06-05 15:25,sl1|exit_reason=trail|mfe_r=2.948389,737.81,22,16327.74,95.92,0.59,0,146.08,0.89,-0.44,0.00,-290.41,-1.16,15
24,Entry short,2026-06-05 14:10,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=core|rvol=1.66499|rs_vs_spy=0|gap_atr=-0.727557|ext_atr=0.703773|risk_atr=0.345262,742.17,22,16327.74,95.92,0.59,0,146.08,0.89,-0.44,0.00,-290.41,-1.16,15
25,Exit short,2026-06-08 09:40,sl1|exit_reason=stop|mfe_r=0,742.57,52,38561.64,-52,-0.13,0,4.68,0.01,-52,-0.13,-342.41,-1.37,1
25,Entry short,2026-06-08 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.898383|rs_vs_spy=0|gap_atr=0.77605|ext_atr=0.123531|risk_atr=0.124847,741.57,52,38561.64,-52,-0.13,0,4.68,0.01,-52,-0.13,-342.41,-1.37,1
26,Exit short,2026-06-08 10:25,sl1|exit_reason=stop|mfe_r=0.103465,742.88,24,17779.44,-49.68,-0.28,0,4.56,0.03,-49.68,-0.28,-392.09,-1.57,6
