Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
104,Exit short,2026-06-25 06:55,TP1,270.9,1,269.5,-2.4,-0.89,0,0.00,-1.9,-0.70,-95.76,-0.19,2
104,Entry short,2026-06-25 06:45,Short,269.5,1,269.5,-2.4,-0.89,0,0.00,-1.9,-0.70,-95.76,-0.19,2
105,Exit short,2026-06-25 15:15,TP1,254,1,257.3,2.3,0.89,2.8,1.09,-5.36,-2.08,-93.46,-0.19,49
105,Entry short,2026-06-25 11:10,Short,257.3,1,257.3,2.3,0.89,2.8,1.09,-5.36,-2.08,-93.46,-0.19,49
106,Exit long,2026-06-29 18:50,TP1,261.98,1,261.71,-0.73,-0.28,0,0.00,-0.8,-0.31,-94.19,-0.19,3
106,Entry long,2026-06-29 18:35,Long,261.71,1,261.71,-0.73,-0.28,0,0.00,-0.8,-0.31,-94.19,-0.19,3
107,Exit long,2026-06-29 19:05,TP1,262.64,1,262.41,-0.77,-0.29,0,0.00,-0.57,-0.22,-94.96,-0.19,2
107,Entry long,2026-06-29 18:55,Long,262.41,1,262.41,-0.77,-0.29,0,0.00,-0.57,-0.22,-94.96,-0.19,2
108,Exit long,2026-07-01 06:40,TP1,279,1,276.93,1.07,0.39,1.82,0.66,-0.51,-0.18,-93.89,-0.19,1
108,Entry long,2026-07-01 06:35,Long,276.93,1,276.93,1.07,0.39,1.82,0.66,-0.51,-0.18,-93.89,-0.19,1
109,Exit short,2026-07-06 19:00,TP1,211.62,1,212.4,-0.22,-0.10,0.32,0.15,-0.51,-0.24,-94.11,-0.19,1
109,Entry short,2026-07-06 18:55,Short,212.4,1,212.4,-0.22,-0.10,0.32,0.15,-0.51,-0.24,-94.11,-0.19,1
110,Exit long,2026-07-08 09:25,TP1,192.28,1,191.41,-0.13,-0.07,0.37,0.19,-2.36,-1.23,-94.24,-0.19,1
110,Entry long,2026-07-08 09:20,Long,191.41,1,191.41,-0.13,-0.07,0.37,0.19,-2.36,-1.23,-94.24,-0.19,1
